Feature,Importance
MonthlyIncome,0.11048563500402467
YearsAtCompany,0.07314602207133711
DistanceFromHome,0.06899589771027832
NumCompaniesWorked,0.0584621087384615
Age,0.052582130523979136
PercentSalaryHike,0.04916214937765186
YearsInCurrentRole,0.04595537309209332
TotalWorkingYears,0.04369276808680836
YearsSinceLastPromotion,0.03707820537946525
JobLevel,0.03382074083654306
OverTime_Yes,0.03337690142384799
Education,0.03142624666544751
YearsWithCurrManager,0.03035871066997057
RelationshipSatisfaction,0.027184751807428777
EnvironmentSatisfaction,0.026456810548691014
StockOptionLevel,0.025961783162636008
WorkLifeBalance,0.021391095187549572
JobInvolvement,0.02054283875653521
JobRole_Manufacturing Director,0.020410656251181252
TrainingTimesLastYear,0.019871660063949664
