EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,41,No,Non-Travel,Research & Development,1,5,Medical,2,Female,3,1,Research Scientist,1,Divorced,67926,1,Yes,14,3,3,2,23,1,4,9,3,0,0
2,51,No,Travel_Frequently,Research & Development,20,3,Life Sciences,3,Male,4,3,Healthcare Representative,2,Divorced,121511,6,Yes,16,3,2,1,33,0,3,0,0,0,0
3,32,Yes,Non-Travel,Research & Development,4,4,Marketing,4,Female,1,4,Research Director,3,Married,123014,4,Yes,24,3,4,2,14,0,3,2,2,1,1
4,27,No,Travel_Rarely,Research & Development,22,3,Life Sciences,1,Female,3,3,Manager,3,Single,114713,4,No,22,3,3,2,9,5,3,2,1,1,2
5,37,Yes,Travel_Rarely,Sales,29,5,Technical Degree,4,Female,2,1,Manager,3,Married,48628,8,No,22,3,2,3,19,2,3,6,0,1,0
6,31,No,Travel_Frequently,Research & Development,22,1,Other,4,Male,3,1,Research Scientist,2,Divorced,65624,4,No,24,4,3,2,13,4,3,8,2,0,2
7,44,No,Non-Travel,Sales,7,2,Marketing,4,Female,3,1,Sales Executive,4,Single,51687,4,Yes,21,3,4,3,26,6,4,2,2,1,0
8,43,No,Non-Travel,Human Resources,3,5,Medical,4,Female,2,1,Manager,4,Single,72570,1,No,22,3,3,1,25,0,4,0,0,0,0
9,23,No,Travel_Frequently,Sales,4,2,Medical,4,Female,3,5,Manager,4,Single,139202,5,No,25,3,4,0,5,3,3,12,1,0,3
10,39,No,Travel_Rarely,Research & Development,29,5,Human Resources,1,Male,3,3,Research Scientist,1,Married,104223,7,Yes,19,3,3,2,21,1,1,0,0,0,0
11,46,Yes,Travel_Rarely,Sales,7,2,Human Resources,4,Female,3,2,Sales Executive,3,Married,103969,5,Yes,24,3,4,1,28,6,1,10,0,0,0
12,39,Yes,Travel_Frequently,Sales,7,4,Life Sciences,1,Female,1,4,Sales Executive,4,Single,144633,3,Yes,17,3,3,0,21,1,3,2,0,0,1
13,44,No,Non-Travel,Human Resources,24,3,Life Sciences,4,Female,2,2,Manager,4,Single,110343,0,Yes,22,3,4,1,26,4,3,15,2,0,4
14,40,Yes,Travel_Frequently,Research & Development,14,5,Human Resources,1,Male,4,4,Research Scientist,1,Divorced,153070,9,No,11,3,3,3,22,4,4,10,2,1,2
15,37,No,Travel_Rarely,Research & Development,17,3,Medical,2,Female,2,2,Laboratory Technician,3,Married,85514,9,No,12,3,4,2,19,0,3,2,2,2,1
16,50,No,Travel_Frequently,Sales,24,5,Medical,4,Female,3,3,Manager,4,Married,102225,2,No,12,4,4,1,32,2,1,1,0,0,0
17,45,No,Non-Travel,Sales,9,2,Other,4,Female,4,2,Manager,2,Married,94931,5,Yes,13,3,3,2,27,6,1,11,0,4,3
18,30,No,Travel_Frequently,Sales,22,1,Marketing,3,Male,3,2,Manager,4,Divorced,85085,0,No,14,3,2,3,12,2,2,1,1,1,1
19,37,No,Travel_Rarely,Human Resources,4,4,Life Sciences,4,Male,3,5,Human Resources,4,Married,146481,3,No,13,3,4,0,19,2,1,3,1,0,1
20,35,Yes,Non-Travel,Sales,1,1,Marketing,3,Male,3,1,Sales Executive,2,Single,76060,6,No,24,3,4,3,17,5,4,5,4,0,5
21,19,No,Travel_Rarely,Sales,18,2,Marketing,3,Female,3,3,Sales Representative,2,Married,109602,6,Yes,19,4,3,3,1,0,3,2,0,1,2
22,35,No,Travel_Frequently,Research & Development,29,2,Human Resources,3,Male,3,3,Manager,2,Divorced,114523,6,Yes,17,3,3,1,17,5,3,1,1,1,1
23,47,No,Travel_Rarely,Sales,22,5,Marketing,3,Female,3,3,Sales Executive,3,Single,121278,2,No,12,3,4,1,29,5,3,1,1,0,1
24,42,No,Travel_Rarely,Sales,21,1,Life Sciences,4,Male,3,1,Sales Executive,3,Married,102856,6,Yes,17,3,3,0,24,3,1,0,0,0,0
25,37,No,Travel_Rarely,Research & Development,17,4,Human Resources,2,Male,3,4,Research Scientist,1,Married,122447,7,Yes,24,3,3,2,19,4,3,7,0,1,1
26,27,No,Non-Travel,Sales,8,4,Other,3,Female,3,3,Sales Executive,3,Single,117103,5,Yes,12,3,1,0,9,4,3,8,1,5,0
27,29,No,Non-Travel,Sales,12,3,Technical Degree,3,Female,1,1,Sales Representative,4,Married,65169,9,No,18,3,4,2,11,3,4,18,8,0,4
28,39,No,Travel_Rarely,Research & Development,13,5,Human Resources,1,Female,3,1,Laboratory Technician,3,Divorced,89607,7,Yes,20,3,4,0,21,1,3,5,1,0,5
29,39,No,Travel_Rarely,Research & Development,1,5,Life Sciences,3,Male,3,1,Laboratory Technician,2,Married,81727,6,No,24,3,4,1,21,2,3,2,1,2,2
30,39,No,Travel_Rarely,Research & Development,20,1,Medical,2,Male,3,1,Research Scientist,1,Married,75196,4,Yes,16,3,4,1,21,6,2,7,0,0,7
31,39,Yes,Travel_Frequently,Research & Development,19,1,Marketing,3,Female,3,5,Manufacturing Director,2,Divorced,139284,9,Yes,12,3,2,1,21,6,4,0,0,0,0
32,26,No,Non-Travel,Research & Development,18,4,Technical Degree,4,Female,4,4,Research Scientist,1,Married,139848,8,No,15,3,4,1,8,5,3,8,1,0,5
33,45,No,Non-Travel,Sales,9,3,Marketing,3,Female,1,4,Sales Executive,2,Divorced,136191,2,No,14,3,3,2,27,3,3,7,3,0,1
34,28,No,Non-Travel,Research & Development,23,2,Marketing,3,Male,4,1,Laboratory Technician,3,Divorced,57762,0,No,15,3,3,0,10,0,2,25,1,4,3
35,37,No,Travel_Frequently,Sales,9,5,Human Resources,3,Female,3,2,Manager,3,Divorced,111803,2,No,14,3,4,3,19,1,2,6,2,0,5
36,27,Yes,Travel_Frequently,Sales,10,4,Technical Degree,2,Male,3,2,Sales Representative,4,Married,97237,7,No,24,3,1,0,9,0,1,19,12,4,1
37,41,No,Non-Travel,Human Resources,25,4,Human Resources,1,Male,2,4,Manager,3,Divorced,128907,4,No,14,3,1,0,23,0,3,23,7,0,1
38,32,Yes,Non-Travel,Research & Development,3,2,Medical,3,Female,4,4,Manufacturing Director,4,Single,142845,3,No,14,3,3,0,14,5,3,1,1,1,1
39,29,Yes,Non-Travel,Research & Development,14,1,Human Resources,4,Female,3,1,Research Director,2,Single,72305,9,No,23,4,3,0,11,5,4,6,6,0,2
40,40,No,Travel_Frequently,Sales,15,1,Human Resources,4,Male,3,3,Sales Executive,3,Single,118411,6,Yes,19,3,3,2,22,2,4,8,4,0,1
41,41,No,Travel_Frequently,Sales,27,4,Life Sciences,2,Male,3,5,Sales Executive,3,Married,157706,4,No,20,3,4,1,23,1,1,14,9,1,2
42,42,Yes,Non-Travel,Sales,13,5,Life Sciences,4,Female,1,2,Sales Executive,3,Divorced,107033,4,Yes,12,4,4,1,24,2,3,8,6,4,1
43,30,Yes,Travel_Rarely,Research & Development,8,2,Marketing,2,Female,3,3,Research Director,4,Divorced,106447,1,No,21,3,4,1,12,0,3,6,0,1,3
44,43,Yes,Non-Travel,Human Resources,5,4,Medical,2,Female,4,5,Human Resources,3,Divorced,125809,7,No,14,3,2,2,25,3,4,0,0,0,0
45,37,No,Non-Travel,Sales,16,3,Marketing,4,Female,3,5,Sales Representative,3,Divorced,133833,7,No,13,3,2,0,19,6,3,10,0,1,0
46,37,Yes,Non-Travel,Research & Development,5,4,Life Sciences,4,Male,4,2,Manager,2,Single,80225,6,No,23,3,4,3,19,5,1,5,4,2,5
47,18,No,Non-Travel,Sales,21,1,Marketing,4,Male,2,2,Sales Representative,3,Divorced,92796,4,No,20,3,4,0,0,2,3,11,1,1,0
48,41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,4,Male,2,3,Manufacturing Director,2,Married,122986,1,No,13,3,2,0,23,3,3,3,0,0,1
49,52,No,Travel_Rarely,Sales,9,4,Marketing,2,Female,3,2,Manager,4,Divorced,96074,9,Yes,14,3,4,2,34,1,1,7,1,6,5
50,56,No,Travel_Frequently,Sales,4,2,Technical Degree,4,Male,3,1,Manager,4,Divorced,85486,4,No,17,4,4,1,38,1,3,3,1,0,3
51,40,No,Travel_Rarely,Sales,26,3,Medical,4,Female,3,1,Manager,3,Divorced,81619,4,No,23,3,1,1,22,6,4,4,0,1,2
52,34,No,Travel_Frequently,Research & Development,6,2,Medical,3,Male,3,3,Manager,4,Divorced,91283,1,No,16,3,3,1,16,2,3,3,3,2,0
53,49,No,Travel_Frequently,Research & Development,13,5,Marketing,4,Female,2,5,Healthcare Representative,2,Single,128462,3,No,21,3,3,0,31,6,4,4,4,2,0
54,38,No,Non-Travel,Research & Development,21,1,Other,4,Female,1,2,Manager,4,Married,80996,8,No,25,3,2,0,20,2,2,0,0,0,0
55,51,No,Travel_Frequently,Sales,5,4,Other,2,Female,3,5,Sales Executive,1,Single,131432,8,No,20,3,3,1,33,3,3,4,3,4,1
56,39,No,Travel_Rarely,Sales,4,4,Life Sciences,2,Female,3,1,Manager,3,Divorced,60659,5,No,17,3,4,1,21,0,3,0,0,0,0
57,31,No,Travel_Rarely,Sales,29,5,Life Sciences,2,Male,3,5,Sales Representative,4,Married,162744,3,No,23,3,3,3,13,2,4,0,0,0,0
58,44,No,Non-Travel,Research & Development,16,4,Marketing,4,Male,3,1,Research Scientist,3,Divorced,79444,6,Yes,12,3,1,0,26,4,3,2,0,2,2
59,36,No,Travel_Frequently,Human Resources,20,2,Life Sciences,1,Female,3,2,Human Resources,4,Single,91759,7,No,25,3,3,1,18,0,3,3,3,0,3
60,35,No,Travel_Frequently,Research & Development,14,3,Technical Degree,1,Female,3,2,Manufacturing Director,3,Married,106481,3,No,18,4,4,2,17,3,4,9,5,0,9
61,48,No,Non-Travel,Sales,19,5,Human Resources,3,Female,3,5,Sales Representative,3,Married,150315,5,No,13,3,1,0,30,6,1,2,2,0,0
